DetaleID,MapingID,Area,District,DateOfContract,Space,Age(years),TotalPriceOfToman
dxss_1911418149,dxss_326092866,14,شکيب,1392/08/30,43.05,5,"122,000,000"
dxss_828493329,dxss_307397602,3,اختياريه رستم آباد,1392/09/01,99.31,1,"775,000,000"
dxss_512956024,dxss_363899519,7,شارق غربي,1392/07/15,67,3,"134,000,000"
dxss_917536726,dxss_763260876,8,کرمان,1392/09/02,65.27,35,"240,000,000"
dxss_209414444,dxss_2075631372,2,پونک,1392/08/30,93.37,0,"610,000,000"
dxss_1387491502,dxss_346753920,4,تهرانپارس,1392/08/20,128.8,11,"420,000,000"
dxss_1531655888,dxss_605283094,18,خليج فارس شمالي,1392/09/02,70.11,8,"103,000,000"
dxss_2088682115,dxss_338039887,8,تهرانپارس,1392/08/28,76.56,7,"355,000,000"
dxss_481989342,dxss_1938492494,3,ونک,1392/08/28,181.87,1,"1,760,000,000"
dxss_1936720917,dxss_1065178545,8,زرکش,1392/09/01,87.36,1,"320,000,000"
dxss_1255571415,dxss_411000239,4,جواديه,1392/08/29,54.36,14,"145,000,000"
dxss_1192918143,dxss_1431218325,10,سلسبيل شمالي,1392/08/18,37,7,"119,000,000"
dxss_1047272097,dxss_963459919,2,شهرداري,1392/09/01,84.29,7,"574,000,000"
dxss_1767848128,dxss_1935786076,14,چهار صد دستگاه,1392/09/02,65.42,4,"178,000,000"
dxss_1223428459,dxss_1221706588,12,مختاري تختي,1392/09/02,42.2,2,"62,000,000"
dxss_1746913830,dxss_116514812,1,رستم آباد فرمانيه,1392/09/02,200,0,"3,460,000,000"
dxss_1919764667,dxss_174087487,18,خليج فارس شمالي,1392/05/30,87.23,0,"88,000,000"
dxss_1256656096,dxss_1709984264,4,تهرانپارس,1392/08/29,113.95,5,"502,000,000"
dxss_201589822,dxss_2092835647,2,نصر گيشا,1392/01/01,81.88,0,"265,000,000"
dxss_874770595,dxss_1474351429,5,جنت آباد شمالي,1392/08/30,408,32,"3,600,000,000"
dxss_1641030687,dxss_704362792,3,امانيه,1392/08/28,127.22,24,"750,000,000"
dxss_1139266376,dxss_495098470,18,شهرک امام خميني,1392/09/02,60.42,1,"90,000,000"
dxss_1900449286,dxss_1027954437,7,خواجه نظام الملک غربي,1392/08/19,74.76,13,"185,000,000"
dxss_1069220955,dxss_470365513,8,لشگر غربي,1392/08/30,35,0,"124,000,000"
dxss_2091716423,dxss_789848236,8,نارمک مرکزي,1392/06/30,94.67,0,"530,000,000"
dxss_1267304173,dxss_1040299494,8,نارمک شمالي,1392/08/28,55,0,"261,250,000"
dxss_1427540277,dxss_460570147,12,آبشار درمار,1392/09/01,41,1,"103,000,000"
dxss_1793389562,dxss_978522914,5,کوي مهران,1391/04/10,420,17,"1,000,000,000"
dxss_994724967,dxss_155123656,2,طرشت,1392/09/01,57.89,7,"202,600,000"
dxss_1866098916,dxss_1796287435,15,ابوذر,1392/08/30,63.59,12,"180,000,000"
dxss_431807715,dxss_659666601,11,فروزش,1392/09/02,43.77,12,"70,000,000"
dxss_95732965,dxss_298757010,14,تاکسيراني,1392/09/02,55.5,17,"120,000,000"
dxss_466966791,dxss_901427606,4,اوقاف,1392/09/01,62.78,6,"150,000,000"
dxss_2146580390,dxss_1275217593,4,تهرانپارس,1392/08/30,94.83,2,"385,000,000"
dxss_1536571329,dxss_581094815,8,نارمک جنوبي,1392/08/27,59.12,10,"190,000,000"
dxss_1364729117,dxss_688258948,4,نارمک,1392/08/28,80.67,1,"322,000,000"
dxss_507803020,dxss_1976011028,5,باغ فيض,1392/09/02,77.63,1,"319,000,000"
dxss_591411785,dxss_655298075,6,ميدان جهاد,1392/08/30,89.75,3,"450,000,000"
dxss_2035457301,dxss_1965081726,5,پونک جنوبي,1392/08/30,69.16,13,"230,000,000"
dxss_318881659,dxss_596675409,6,ميدان وليعصر انقلاب,1392/08/30,82.7,3,"377,000,000"
dxss_865826104,dxss_1678029076,15,افسريه شمالي,1392/09/02,71,7,"80,000,000"
dxss_681186407,dxss_1901965035,10,بريانک,1392/08/30,43.1,5,"113,000,000"
dxss_1182393710,dxss_2041019859,11,دخانيات,1392/08/29,60.07,10,"111,500,000"
dxss_667355060,dxss_901735233,10,هفت چنار,1392/09/02,38.82,11,"50,500,000"
dxss_928180886,dxss_2079290298,2,صادقيه,1392/08/30,116.59,1,"570,000,000"
dxss_1931439912,dxss_6765376,7,خواجه نظام الملک غربي,1392/08/30,44.4,21,"124,300,000"
dxss_1194741362,dxss_70161184,15,شوش شبير,1392/09/01,55.4,0,"160,000,000"
dxss_1789381491,dxss_986114201,10,سليماني تيموري,1392/08/26,47.72,1,"133,000,000"
dxss_868680124,dxss_1885606141,15,والفجر اسلام آباد,1392/09/01,74,1,"156,500,000"
dxss_431807715,dxss_659666601,11,فروزش,1392/09/02,43.77,12,"70,000,000"
dxss_95732965,dxss_298757010,14,تاکسيراني,1392/09/02,55.5,17,"120,000,000"
dxss_466966791,dxss_901427606,4,اوقاف,1392/09/01,62.78,6,"150,000,000"
dxss_9928830,dxss_725864500,4,تهرانپارس,1392/05/28,59.83,9,"160,000,000"
dxss_1033957858,dxss_2102717816,11,هلاا احمر,1392/08/27,40,0,"94,000,000"
dxss_1842658637,dxss_1057266777,4,کاظم آباد,1392/09/01,54.84,12,"245,000,000"
dxss_2035982346,dxss_18197071,5,کوي ارم,1392/08/30,60,12,"216,000,000"
dxss_249947993,dxss_1986833209,4,شيان,1392/08/30,84,0,"600,000,000"
dxss_482562875,dxss_295596232,10,بريانک,1392/08/30,51.32,11,"102,500,000"
dxss_83861862,dxss_1016383276,4,مهران,1392/09/01,61.84,12,"334,000,000"
dxss_1184591356,dxss_1993586336,16,جواديه,1392/09/02,114.4,47,"305,000,000"
dxss_2077617568,dxss_1618756165,2,صادقيه,1392/08/30,81.45,1,"401,000,000"
dxss_417670271,dxss_1716334088,10,کارون جنوبي,1392/02/09,60.78,22,"126,000,000"
dxss_441387722,dxss_909667348,6,بهجت آباد,1392/09/02,94.84,20,"412,000,000"
dxss_1986383851,dxss_970490113,14,شکوفه,1392/08/27,123,2,"445,000,000"
dxss_550724903,dxss_901668383,5,شهرک المهدي,1392/09/01,74.02,10,"285,000,000"
dxss_1038791366,dxss_660984924,10,کارون شمالي,1392/08/25,82.48,11,"200,000,000"
dxss_944591773,dxss_751662381,8,کرمان,1392/09/02,54.46,7,"187,000,000"
dxss_1447835169,dxss_2136974264,5,سازمان برنامه جنوبي,1392/09/01,58.94,7,"272,500,000"
dxss_2051998504,dxss_1041326965,2,شهرک آزمايش,1392/08/30,87,0,"365,400,000"
dxss_932078090,dxss_1013993593,9,فيروزآباد,1392/02/05,40.7,0,"110,000,000"
dxss_946068713,dxss_1507483887,5,سازمان برنامه جنوبي,1392/08/29,49.35,2,"230,000,000"
dxss_9928830,dxss_725864500,4,تهرانپارس,1392/05/28,59.83,9,"160,000,000"
dxss_1033957858,dxss_2102717816,11,هلاا احمر,1392/08/27,40,0,"94,000,000"
dxss_1842658637,dxss_1057266777,4,کاظم آباد,1392/09/01,54.84,12,"245,000,000"
dxss_2035982346,dxss_18197071,5,کوي ارم,1392/08/30,60,12,"216,000,000"
dxss_249947993,dxss_1986833209,4,شيان,1392/08/30,84,0,"600,000,000"
dxss_482562875,dxss_295596232,10,بريانک,1392/08/30,51.32,11,"102,500,000"
dxss_332812814,dxss_421463634,7,حشمتيه,1392/09/01,42.51,3,"130,000,000"
dxss_1707988546,dxss_1698115174,5,پرواز,1392/08/30,73.22,3,"360,000,000"
dxss_1969007271,dxss_1161963626,13,صفا,1392/08/26,47.42,6,"156,300,000"
dxss_1038550022,dxss_60892293,5,شهرک المهدي,1392/09/02,69.46,1,"354,246,000"
dxss_1891582185,dxss_157344853,5,شهرک کوهسار,1391/12/23,200,0,"500,000,000"
dxss_493115323,dxss_1986982185,10,سلسبيل شمالي,1392/08/19,71.93,6,"234,500,000"
dxss_1224641638,dxss_1468235600,13,صفا,1392/08/30,51.05,8,"135,000,000"
dxss_581543526,dxss_1690426042,3,امانيه,1392/08/28,112.2,19,"770,000,000"
dxss_231567611,dxss_1324438025,5,سازمان برنامه جنوبي,1392/09/01,58.5,13,"245,000,000"
dxss_192432574,dxss_526448137,15,ابوذر,1392/08/29,69.65,4,"221,000,000"
dxss_1383466385,dxss_402921266,8,تهرانپارس,1392/07/08,155,0,"975,000,000"
dxss_1270561495,dxss_124713868,5,باغ فيض,1392/09/02,62,6,"250,000,000"
dxss_753486651,dxss_1590085788,14,آهنگران,1392/09/01,43.05,12,"97,000,000"
dxss_920279565,dxss_1283437692,10,هاشمي,1392/09/02,61,4,"130,000,000"
dxss_976133299,dxss_467884326,14,آهنگ,1391/10/17,63.04,18,"173,000,000"
dxss_820859881,dxss_245651134,15,ابوذر,1392/08/05,110,25,"425,000,000"
dxss_1454677171,dxss_1439185728,8,نارمک شرقي,1392/08/15,32.72,9,"144,000,000"
dxss_450884783,dxss_768853947,5,مبعث,1392/05/29,130,0,"461,500,000"
